id,escenario,codigo_actividad,emision_directa_gg,emision_indirecta_gg,emision_total_gg,pct_participacion,fecha_calculo,version_modelo
1,A,H49,6026.0,312.4,6338.4,43.8,2026-08-05,v1.0-sesion-previa-2026-05-23
2,A,A01-A03,2968.0,187.6,3155.6,21.8,2026-08-05,v1.0-sesion-previa-2026-05-23
3,A,E36-E39,1198.9,96.3,1295.2,8.9,2026-08-05,v1.0-sesion-previa-2026-05-23
4,A,C10-C12,248.6,418.2,666.8,4.6,2026-08-05,v1.0-sesion-previa-2026-05-23
5,A,C13-C33_ex,612.4,380.8,993.2,6.9,2026-08-05,v1.0-sesion-previa-2026-05-23
6,A,C19,198.3,44.1,242.4,1.7,2026-08-05,v1.0-sesion-previa-2026-05-23
7,A,F41-F43,87.4,342.6,430.0,3.0,2026-08-05,v1.0-sesion-previa-2026-05-23
8,A,D35,54.2,38.6,92.8,0.6,2026-08-05,v1.0-sesion-previa-2026-05-23
9,A,E36-E39_agua,38.1,52.3,90.4,0.6,2026-08-05,v1.0-sesion-previa-2026-05-23
10,A,G45-G47,96.4,186.3,282.7,2.0,2026-08-05,v1.0-sesion-previa-2026-05-23
11,A,J58-J63,31.8,98.7,130.5,0.9,2026-08-05,v1.0-sesion-previa-2026-05-23
12,A,Q86,24.6,112.4,137.0,0.9,2026-08-05,v1.0-sesion-previa-2026-05-23
13,A,P85,18.9,86.3,105.2,0.7,2026-08-05,v1.0-sesion-previa-2026-05-23
14,A,L68,12.4,64.8,77.2,0.5,2026-08-05,v1.0-sesion-previa-2026-05-23
15,A,O84,28.6,74.2,102.8,0.7,2026-08-05,v1.0-sesion-previa-2026-05-23
16,A,RESTO,,,341.8,2.4,2026-08-05,v1.0-sesion-previa-2026-05-23
